machine	subject	start_time	end_time	stim	block	correct	latency	fluent	learning
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:51.682	2013-10-15 09:20:52.352000	SUMMER	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:52.362	2013-10-15 09:20:53.382000	LONG	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:57.462	2013-10-15 09:20:57.992000	HAD	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:58.622	2013-10-15 09:20:58.812000	A(2)	block	1	0.6300	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:00.602	2013-10-15 09:21:00.832000	DAY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:17.997	2013-10-15 09:21:18.127000	AND	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:18.137	2013-10-15 09:21:18.227000	THE(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:18.657	2013-10-15 09:21:19.287000	PART	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:19.297	2013-10-15 09:21:19.537000	1	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:53.101	2013-10-15 09:21:53.481000	ONCE	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:55.251	2013-10-15 09:21:55.341000	A(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:55.351	2013-10-15 09:21:55.811000	TIME	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:55.821	2013-10-15 09:21:55.911000	IN(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:55.921	2013-10-15 09:21:56.041000	A	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:56.051	2013-10-15 09:21:56.421000	VERY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:57.301	2013-10-15 09:21:57.451000	THERE	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:21:57.701	2013-10-15 09:21:57.901000	A(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:01.071	2013-10-15 09:22:01.491000	HAD	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:01.501	2013-10-15 09:22:01.821000	BEEN(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:01.831	2013-10-15 09:22:02.411000	SO	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:03.701	2013-10-15 09:22:03.901000	IN	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:03.911	2013-10-15 09:22:04.231000	ALL	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:04.241	2013-10-15 09:22:04.671000	HIS	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:06.651	2013-10-15 09:22:06.971000	THAT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:06.981	2013-10-15 09:22:07.231000	HE	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:07.241	2013-10-15 09:22:07.761000	WAS(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:13.521	2013-10-15 09:22:13.831000	AS	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:13.841	2013-10-15 09:22:14.131000	HE	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:14.141	2013-10-15 09:22:14.621000	HAD	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:22:15.301	2013-10-15 09:22:15.821000	SIX	block	1	0.0100	2	2
